Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
5/6/2024,184.8,183.78,187.5,182.26,80.87M,2.00%,15.31%,2.00%,0.00%,,459250,,,15.31%
5/3/2024,181.18,182.03,184.68,178.46,71.72M,0.60%,12.06%,0.60%,0.00%,,,,,12.06%
5/2/2024,180.1,183.33,184.57,176.26,88.28M,-0.04%,11.00%,0.00%,-0.04%,,,,,11.00%
5/1/2024,180.17,182.14,185.81,179.02,88.09M,-1.83%,10.97%,0.00%,-1.83%,,,,,10.97%
4/30/2024,183.52,187,190.76,182.88,120.68M,-5.43%,10.09%,0.00%,-5.43%,,,,,10.09%
4/29/2024,194.05,187.88,198.76,184.56,241.48M,15.31%,7.82%,15.31%,0.00%,,,,,7.82%
4/26/2024,168.29,168.85,172.12,166.37,109.82M,-1.11%,7.74%,0.00%,-1.11%,,,,,7.74%
4/25/2024,170.18,158.96,170.88,158.36,126.43M,4.97%,7.69%,4.97%,0.00%,,,,,7.69%
4/24/2024,162.13,162.84,167.97,157.51,181.18M,12.06%,7.51%,12.06%,0.00%,,,,,7.51%
4/23/2024,144.68,143.33,147.26,141.11,124.55M,1.85%,7.43%,1.85%,0.00%,,,,,7.43%
4/22/2024,142.05,140.56,144.44,138.8,106.48M,-3.40%,7.33%,0.00%,-3.40%,,,,,7.33%
4/19/2024,147.05,148.97,150.94,146.22,87.08M,-1.92%,6.90%,0.00%,-1.92%,,,,,6.90%
4/18/2024,149.93,151.25,152.2,148.7,96.10M,-3.55%,6.25%,0.00%,-3.55%,,,,,6.25%
4/17/2024,155.45,157.64,158.33,153.78,82.44M,-1.06%,6.25%,0.00%,-1.06%,,,,,6.25%
4/16/2024,157.11,156.74,158.19,153.75,97.00M,-2.71%,6.24%,0.00%,-2.71%,,,,,6.24%
4/15/2024,161.48,170.26,170.69,161.38,96.36M,-5.59%,6.22%,0.00%,-5.59%,,,,,6.22%
4/12/2024,171.05,172.34,173.81,170.36,64.72M,-2.03%,6.12%,0.00%,-2.03%,,,,,6.12%
4/11/2024,174.6,172.55,175.88,168.51,94.52M,1.65%,5.93%,1.65%,0.00%,,,,,5.93%
4/10/2024,171.76,173.04,174.93,170.01,84.53M,-2.89%,5.93%,0.00%,-2.89%,,,,,5.93%
4/9/2024,176.88,172.91,179.22,171.92,103.23M,2.25%,5.50%,2.25%,0.00%,,,,,5.50%
4/8/2024,172.98,169.34,174.5,167.79,104.04M,4.90%,5.46%,4.90%,0.00%,,,,,5.46%
4/5/2024,164.9,169.08,170.86,160.51,143.16M,-3.63%,5.34%,0.00%,-3.63%,,,,,5.34%
4/4/2024,171.11,170.07,177.19,168.01,123.16M,1.62%,5.12%,1.62%,0.00%,,,,,5.12%
4/3/2024,168.38,164.02,168.82,163.28,82.95M,1.05%,5.03%,1.05%,0.00%,,,,,5.03%
4/2/2024,166.63,164.75,167.69,163.43,116.65M,-4.90%,4.97%,0.00%,-4.90%,,,,,4.97%
4/1/2024,175.22,176.17,176.75,170.21,80.75M,-0.32%,4.91%,0.00%,-0.32%,,,,,4.91%
3/28/2024,175.79,177.45,179.57,175.3,77.66M,-2.25%,4.91%,0.00%,-2.25%,,,,,4.91%
3/27/2024,179.83,181.41,181.91,176,81.80M,1.22%,4.90%,1.22%,0.00%,,,,,4.90%
3/26/2024,177.67,178.58,184.25,177.38,113.19M,2.92%,4.85%,2.92%,0.00%,,,,,4.85%
3/25/2024,172.63,168.76,175.24,168.73,74.23M,1.05%,4.73%,1.05%,0.00%,,,,,4.73%
